MeetName,MeetFederation,MeetDate,MeetLocation,Division,Sex,BodyweightKg,WeightClassKg,AthleteName,AthleteNationality,Event,EventCategory,Implement,ResultValue,ResultUnit,Place,OverallPlace,Points,Notes
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Tom Stoltman,GBR,KNAACK Giant's Medley,Medley,"Yoke,Frame",41.26,sec,3,1,53,Yoke 454kg + Frame Carry 330kg over 20m
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Mitchell Hooper,CAN,KNAACK Giant's Medley,Medley,"Yoke,Frame",34.59,m,6,2,47.5,DNF - dropped frame carry; scored by distance
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Evan Singleton,USA,KNAACK Giant's Medley,Medley,"Yoke,Frame",30.21,sec,1,3,36,
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Matthew Ragg,NZL,KNAACK Giant's Medley,Medley,"Yoke,Frame",28.9,m,7,4,35.5,DNF - scored by distance
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Tristain Hoath,CAN,KNAACK Giant's Medley,Medley,"Yoke,Frame",35.54,m,5,5,33.5,DNF - scored by distance
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Wesley Derwinsky,CAN,KNAACK Giant's Medley,Medley,"Yoke,Frame",59.2,sec,4,6,31,
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Austin Andrade,MEX,KNAACK Giant's Medley,Medley,"Yoke,Frame",40.61,sec,2,7,30.5,
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Pavlo Kordiyaka,UKR,KNAACK Giant's Medley,Medley,"Yoke,Frame",20.99,m,10,8,27,DNF - scored by distance
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Luke Stoltman,GBR,KNAACK Giant's Medley,Medley,"Yoke,Frame",27.43,m,8,9,19.5,DNF - scored by distance
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Aivars Smaukstelis,LAT,KNAACK Giant's Medley,Medley,"Yoke,Frame",21.96,m,9,10,12.5,DNF - scored by distance
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Tom Stoltman,GBR,Max Axle Press,Overhead Press,Axle,210,kg,1,1,53,4 reps at 210kg; tied 1st
2024 World's Strongest Man,WSM,2024-05-04,"Myrtle Beach, South Carolina",Open,M,,,Mitchell Hooper,CAN,Max Axle Press,Overhead Press,Axle,210,kg,1,2,47.5,4 reps at 210kg; tied 1st
