MeetName,MeetFederation,MeetDate,MeetLocation,Division,Sex,BodyweightKg,WeightClassKg,AthleteName,AthleteNationality,Event,EventCategory,Implement,ResultValue,ResultUnit,Place,OverallPlace,Points,Notes
1991 World's Strongest Man,WSM,1991-00-00,"Tenerife, Canary Islands",Open,M,,,Gary Taylor,GBR,Overall,,,,,,3,,
1992 World's Strongest Man,WSM,1992-00-00,"Reykjavik, Iceland",Open,M,,,Ted van der Parre,NED,Overall,,,,,,1,,
1992 World's Strongest Man,WSM,1992-00-00,"Reykjavik, Iceland",Open,M,,,Magnus Ver Magnusson,ISL,Overall,,,,,,2,,
1992 World's Strongest Man,WSM,1992-00-00,"Reykjavik, Iceland",Open,M,,,Jamie Reeves,GBR,Overall,,,,,,3,,
1993 World's Strongest Man,WSM,1993-00-00,"Orange, France",Open,M,,,Gary Taylor,GBR,Overall,,,,,,1,,
1993 World's Strongest Man,WSM,1993-00-00,"Orange, France",Open,M,,,Magnus Ver Magnusson,ISL,Overall,,,,,,2,,
1993 World's Strongest Man,WSM,1993-00-00,"Orange, France",Open,M,,,Riku Kiri,FIN,Overall,,,,,,3,,
1994 World's Strongest Man,WSM,1994-00-00,"Sun City, South Africa",Open,M,,,Magnus Ver Magnusson,ISL,Overall,,,,,,1,,
1994 World's Strongest Man,WSM,1994-00-00,"Sun City, South Africa",Open,M,,,Manfred Hoeberl,AUT,Overall,,,,,,2,,
1994 World's Strongest Man,WSM,1994-00-00,"Sun City, South Africa",Open,M,,,Riku Kiri,FIN,Overall,,,,,,3,,
1995 World's Strongest Man,WSM,1995-00-00,"Nassau, Bahamas",Open,M,,,Magnus Ver Magnusson,ISL,Overall,,,,,,1,,
1995 World's Strongest Man,WSM,1995-00-00,"Nassau, Bahamas",Open,M,,,Gerrit Badenhorst,RSA,Overall,,,,,,2,,
1995 World's Strongest Man,WSM,1995-00-00,"Nassau, Bahamas",Open,M,,,Marko Varalahti,FIN,Overall,,,,,,3,,
1996 World's Strongest Man,WSM,1996-00-00,"Port Louis, Mauritius",Open,M,,,Magnus Ver Magnusson,ISL,Overall,,,,,,1,,
1996 World's Strongest Man,WSM,1996-00-00,"Port Louis, Mauritius",Open,M,,,Riku Kiri,FIN,Overall,,,,,,2,,
1996 World's Strongest Man,WSM,1996-00-00,"Port Louis, Mauritius",Open,M,,,Gerrit Badenhorst,RSA,Overall,,,,,,3,,
1997 World's Strongest Man,WSM,1997-00-00,"Primm Valley Resort, Nevada",Open,M,,,Jouko Ahola,FIN,Overall,,,,,,1,,
1997 World's Strongest Man,WSM,1997-00-00,"Primm Valley Resort, Nevada",Open,M,,,Flemming Rasmussen,DEN,Overall,,,,,,2,,
1997 World's Strongest Man,WSM,1997-00-00,"Primm Valley Resort, Nevada",Open,M,,,Magnus Samuelsson,SWE,Overall,,,,,,3,,
1998 World's Strongest Man,WSM,1998-00-00,"Tangier, Morocco",Open,M,,,Magnus Samuelsson,SWE,Overall,,,,,,1,,
1998 World's Strongest Man,WSM,1998-00-00,"Tangier, Morocco",Open,M,,,Jouko Ahola,FIN,Overall,,,,,,2,,
1998 World's Strongest Man,WSM,1998-00-00,"Tangier, Morocco",Open,M,,,Wout Zijlstra,NED,Overall,,,,,,3,,
1999 World's Strongest Man,WSM,1999-00-00,"Valletta, Malta",Open,M,,,Jouko Ahola,FIN,Overall,,,,,,1,,
1999 World's Strongest Man,WSM,1999-00-00,"Valletta, Malta",Open,M,,,Janne Virtanen,FIN,Overall,,,,,,2,,
1999 World's Strongest Man,WSM,1999-00-00,"Valletta, Malta",Open,M,,,Svend Karlsen,NOR,Overall,,,,,,3,,
2000 World's Strongest Man,WSM,2000-00-00,"Sun City, South Africa",Open,M,,,Janne Virtanen,FIN,Overall,,,,,,1,,
2000 World's Strongest Man,WSM,2000-00-00,"Sun City, South Africa",Open,M,,,Svend Karlsen,NOR,Overall,,,,,,2,,
2000 World's Strongest Man,WSM,2000-00-00,"Sun City, South Africa",Open,M,,,Magnus Samuelsson,SWE,Overall,,,,,,3,,
2001 World's Strongest Man,WSM,2001-00-00,"Victoria Falls, Zambia",Open,M,,,Svend Karlsen,NOR,Overall,,,,,,1,,
2001 World's Strongest Man,WSM,2001-00-00,"Victoria Falls, Zambia",Open,M,,,Magnus Samuelsson,SWE,Overall,,,,,,2,,
2001 World's Strongest Man,WSM,2001-00-00,"Victoria Falls, Zambia",Open,M,,,Janne Virtanen,FIN,Overall,,,,,,3,,
2002 World's Strongest Man,WSM,2002-00-00,"Kuala Lumpur, Malaysia",Open,M,,,Mariusz Pudzianowski,POL,Overall,,,,,,1,,
2002 World's Strongest Man,WSM,2002-00-00,"Kuala Lumpur, Malaysia",Open,M,,,Zydrunas Savickas,LTU,Overall,,,,,,2,,
2002 World's Strongest Man,WSM,2002-00-00,"Kuala Lumpur, Malaysia",Open,M,,,Raimonds Bergmanis,LAT,Overall,,,,,,3,,
2003 World's Strongest Man,WSM,2003-00-00,"Victoria Falls, Zambia",Open,M,,,Mariusz Pudzianowski,POL,Overall,,,,,,1,,66 points out of possible 70
2003 World's Strongest Man,WSM,2003-00-00,"Victoria Falls, Zambia",Open,M,,,Zydrunas Savickas,LTU,Overall,,,,,,2,,
2003 World's Strongest Man,WSM,2003-00-00,"Victoria Falls, Zambia",Open,M,,,Vasyl Virastyuk,UKR,Overall,,,,,,3,,
2004 World's Strongest Man,WSM,2004-00-00,"Nassau, Bahamas",Open,M,,,Vasyl Virastyuk,UKR,Overall,,,,,,1,,
2004 World's Strongest Man,WSM,2004-00-00,"Nassau, Bahamas",Open,M,,,Zydrunas Savickas,LTU,Overall,,,,,,2,,
2004 World's Strongest Man,WSM,2004-00-00,"Nassau, Bahamas",Open,M,,,Magnus Samuelsson,SWE,Overall,,,,,,3,,Pudzianowski originally 3rd but disqualified for failed drugs test
2005 World's Strongest Man,WSM,2005-00-00,"Chengdu, China",Open,M,,,Mariusz Pudzianowski,POL,Overall,,,,,,1,,
2005 World's Strongest Man,WSM,2005-00-00,"Chengdu, China",Open,M,,,Jesse Marunde,USA,Overall,,,,,,2,,
2005 World's Strongest Man,WSM,2005-00-00,"Chengdu, China",Open,M,,,Dominic Filiou,CAN,Overall,,,,,,3,,
2006 World's Strongest Man,WSM,2006-00-00,"Sanya, China",Open,M,,,Phil Pfister,USA,Overall,,,,,,1,,First American winner since 1982
2006 World's Strongest Man,WSM,2006-00-00,"Sanya, China",Open,M,,,Mariusz Pudzianowski,POL,Overall,,,,,,2,,
2006 World's Strongest Man,WSM,2006-00-00,"Sanya, China",Open,M,,,Don Pope,USA,Overall,,,,,,3,,
2007 World's Strongest Man,WSM,2007-09-00,"Anaheim, California",Open,M,,,Mariusz Pudzianowski,POL,Overall,,,,,,1,,
2007 World's Strongest Man,WSM,2007-09-00,"Anaheim, California",Open,M,,,Sebastian Wenta,POL,Overall,,,,,,2,,
2007 World's Strongest Man,WSM,2007-09-00,"Anaheim, California",Open,M,,,Terry Hollands,GBR,Overall,,,,,,3,,
2008 World's Strongest Man,WSM,2008-00-00,"Charleston, West Virginia",Open,M,,,Mariusz Pudzianowski,POL,Overall,,,,,,1,,
2008 World's Strongest Man,WSM,2008-00-00,"Charleston, West Virginia",Open,M,,,Derek Poundstone,USA,Overall,,,,,,2,,
2008 World's Strongest Man,WSM,2008-00-00,"Charleston, West Virginia",Open,M,,,Dave Ostlund,USA,Overall,,,,,,3,,
2009 World's Strongest Man,WSM,2009-00-00,"Valletta, Malta",Open,M,,,Zydrunas Savickas,LTU,Overall,,,,,,1,,
2009 World's Strongest Man,WSM,2009-00-00,"Valletta, Malta",Open,M,,,Mariusz Pudzianowski,POL,Overall,,,,,,2,,Final WSM contest for Pudzianowski
2009 World's Strongest Man,WSM,2009-00-00,"Valletta, Malta",Open,M,,,Brian Shaw,USA,Overall,,,,,,3,,
2010 World's Strongest Man,WSM,2010-09-00,"Sun City, South Africa",Open,M,,,Zydrunas Savickas,LTU,Overall,,,,,,1,,Won by countback; set log lift world record 210kg
2010 World's Strongest Man,WSM,2010-09-00,"Sun City, South Africa",Open,M,,,Brian Shaw,USA,Overall,,,,,,2,,
2010 World's Strongest Man,WSM,2010-09-00,"Sun City, South Africa",Open,M,,,Mikhail Koklyaev,RUS,Overall,,,,,,3,,
2011 World's Strongest Man,WSM,2011,"Wingate, North Carolina",Open,M,,,Brian Shaw,USA,Overall,,,,,,1,,
2011 World's Strongest Man,WSM,2011,"Wingate, North Carolina",Open,M,,,Zydrunas Savickas,LTU,Overall,,,,,,2,,
2011 World's Strongest Man,WSM,2011,"Wingate, North Carolina",Open,M,,,Terry Hollands,GBR,Overall,,,,,,3,,
2012 World's Strongest Man,WSM,2012,"Los Angeles, California",Open,M,,,Zydrunas Savickas,LTU,Overall,,,,,,1,,Set log lift world record 220kg
2012 World's Strongest Man,WSM,2012,"Los Angeles, California",Open,M,,,Vytautas Lalas,LTU,Overall,,,,,,2,,
2012 World's Strongest Man,WSM,2012,"Los Angeles, California",Open,M,,,Hafthor Julius Bjornsson,ISL,Overall,,,,,,3,,
